Time,Object Type,Object Index,Position X,Position Y,Radius,Color R,Color G,Color B
0.02, Pendulum, 0, 62.23, 62.22, 12.00,217,42,130
0.02, Pendulum, 1, 0.00, -0.00, 12.00,254,67,77
0.02, Pendulum, 2, 0.00, 88.00, 12.00,140,226,179
0.03, Pendulum, 0, 62.23, 62.22, 12.00,217,42,130
0.03, Pendulum, 1, 0.00, -0.00, 12.00,254,67,77
0.03, Pendulum, 2, 0.00, 88.00, 12.00,140,226,179
0.05, Pendulum, 0, 62.23, 62.22, 12.00,217,42,130
0.05, Pendulum, 1, 0.01, -0.01, 12.00,254,67,77
0.05, Pendulum, 2, 0.00, 87.99, 12.00,140,226,179
0.07, Pendulum, 0, 62.24, 62.21, 12.00,217,42,130
0.07, Pendulum, 1, 0.01, -0.01, 12.00,254,67,77
0.07, Pendulum, 2, 0.00, 87.99, 12.00,140,226,179
0.08, Pendulum, 0, 62.24, 62.21, 12.00,217,42,130
0.08, Pendulum, 1, 0.02, -0.02, 12.00,254,67,77
0.08, Pendulum, 2, 0.00, 87.98, 12.00,140,226,179
0.10, Pendulum, 0, 62.25, 62.20, 12.00,217,42,130
0.10, Pendulum, 1, 0.03, -0.03, 12.00,254,67,77
0.10, Pendulum, 2, 0.00, 87.97, 12.00,140,226,179
0.12, Pendulum, 0, 62.26, 62.19, 12.00,217,42,130
0.12, Pendulum, 1, 0.04, -0.04, 12.00,254,67,77
0.12, Pendulum, 2, 0.00, 87.96, 12.00,140,226,179
0.13, Pendulum, 0, 62.27, 62.18, 12.00,217,42,130
0.13, Pendulum, 1, 0.05, -0.05, 12.00,254,67,77
0.13, Pendulum, 2, 0.00, 87.95, 12.00,140,226,179
0.15, Pendulum, 0, 62.28, 62.17, 12.00,217,42,130
0.15, Pendulum, 1, 0.06, -0.06, 12.00,254,67,77
0.15, Pendulum, 2, 0.00, 87.94, 12.00,140,226,179
0.17, Pendulum, 0, 62.29, 62.16, 12.00,217,42,130
0.17, Pendulum, 1, 0.07, -0.07, 12.00,254,67,77
0.17, Pendulum, 2, 0.00, 87.93, 12.00,140,226,179
0.18, Pendulum, 0, 62.31, 62.14, 12.00,217,42,130
0.18, Pendulum, 1, 0.09, -0.09, 12.00,254,67,77
0.18, Pendulum, 2, 0.00, 87.91, 12.00,140,226,179
0.20, Pendulum, 0, 62.32, 62.13, 12.00,217,42,130
0.20, Pendulum, 1, 0.10, -0.10, 12.00,254,67,77
0.20, Pendulum, 2, 0.00, 87.90, 12.00,140,226,179
0.22, Pendulum, 0, 62.34, 62.11, 12.00,217,42,130
0.22, Pendulum, 1, 0.12, -0.12, 12.00,254,67,77
0.22, Pendulum, 2, 0.00, 87.88, 12.00,140,226,179
0.23, Pendulum, 0, 62.36, 62.09, 12.00,217,42,130
0.23, Pendulum, 1, 0.14, -0.14, 12.00,254,67,77
0.23, Pendulum, 2, 0.00, 87.86, 12.00,140,226,179
0.25, Pendulum, 0, 62.38, 62.07, 12.00,217,42,130
0.25, Pendulum, 1, 0.16, -0.16, 12.00,254,67,77
0.25, Pendulum, 2, 0.00, 87.84, 12.00,140,226,179
0.27, Pendulum, 0, 62.40, 62.05, 12.00,217,42,130
0.27, Pendulum, 1, 0.18, -0.18, 12.00,254,67,77
0.27, Pendulum, 2, 0.01, 87.82, 12.00,140,226,179
0.28, Pendulum, 0, 62.42, 62.03, 12.00,217,42,130
0.28, Pendulum, 1, 0.20, -0.20, 12.00,254,67,77
0.28, Pendulum, 2, 0.01, 87.80, 12.00,140,226,179
0.30, Pendulum, 0, 62.45, 62.00, 12.00,217,42,130
0.30, Pendulum, 1, 0.23, -0.23, 12.00,254,67,77
0.30, Pendulum, 2, 0.01, 87.77, 12.00,140,226,179
0.32, Pendulum, 0, 62.47, 61.98, 12.00,217,42,130
0.32, Pendulum, 1, 0.25, -0.25, 12.00,254,67,77
0.32, Pendulum, 2, 0.01, 87.75, 12.00,140,226,179
0.33, Pendulum, 0, 62.50, 61.95, 12.00,217,42,130
0.33, Pendulum, 1, 0.28, -0.28, 12.00,254,67,77
0.33, Pendulum, 2, 0.01, 87.72, 12.00,140,226,179
0.35, Pendulum, 0, 62.52, 61.92, 12.00,217,42,130
0.35, Pendulum, 1, 0.31, -0.31, 12.00,254,67,77
0.35, Pendulum, 2, 0.01, 87.69, 12.00,140,226,179
0.37, Pendulum, 0, 62.55, 61.89, 12.00,217,42,130
0.37, Pendulum, 1, 0.33, -0.34, 12.00,254,67,77
0.37, Pendulum, 2, 0.01, 87.66, 12.00,140,226,179
0.38, Pendulum, 0, 62.58, 61.86, 12.00,217,42,130
0.38, Pendulum, 1, 0.37, -0.37, 12.00,254,67,77
0.38, Pendulum, 2, 0.01, 87.63, 12.00,140,226,179
0.40, Pendulum, 0, 62.62, 61.83, 12.00,217,42,130
0.40, Pendulum, 1, 0.40, -0.40, 12.00,254,67,77
0.40, Pendulum, 2, 0.01, 87.60, 12.00,140,226,179
0.42, Pendulum, 0, 62.65, 61.80, 12.00,217,42,130
0.42, Pendulum, 1, 0.43, -0.43, 12.00,254,67,77
0.42, Pendulum, 2, 0.01, 87.56, 12.00,140,226,179
0.43, Pendulum, 0, 62.68, 61.76, 12.00,217,42,130
0.43, Pendulum, 1, 0.47, -0.47, 12.00,254,67,77
0.43, Pendulum, 2, 0.01, 87.53, 12.00,140,226,179
0.45, Pendulum, 0, 62.72, 61.73, 12.00,217,42,130
0.45, Pendulum, 1, 0.50, -0.51, 12.00,254,67,77
0.45, Pendulum, 2, 0.01, 87.49, 12.00,140,226,179
0.47, Pendulum, 0, 62.76, 61.69, 12.00,217,42,130
0.47, Pendulum, 1, 0.54, -0.54, 12.00,254,67,77
0.47, Pendulum, 2, 0.01, 87.45, 12.00,140,226,179
0.48, Pendulum, 0, 62.79, 61.65, 12.00,217,42,130
0.48, Pendulum, 1, 0.58, -0.58, 12.00,254,67,77
0.48, Pendulum, 2, 0.01, 87.41, 12.00,140,226,179
0.50, Pendulum, 0, 62.83, 61.61, 12.00,217,42,130
0.50, Pendulum, 1, 0.62, -0.62, 12.00,254,67,77
0.50, Pendulum, 2, 0.01, 87.37, 12.00,140,226,179
0.52, Pendulum, 0, 62.88, 61.57, 12.00,217,42,130
0.52, Pendulum, 1, 0.66, -0.67, 12.00,254,67,77
0.52, Pendulum, 2, 0.01, 87.33, 12.00,140,226,179
0.53, Pendulum, 0, 62.92, 61.52, 12.00,217,42,130
0.53, Pendulum, 1, 0.70, -0.71, 12.00,254,67,77
0.53, Pendulum, 2, 0.01, 87.29, 12.00,140,226,179
0.55, Pendulum, 0, 62.96, 61.48, 12.00,217,42,130
0.55, Pendulum, 1, 0.75, -0.76, 12.00,254,67,77
0.55, Pendulum, 2, 0.01, 87.24, 12.00,140,226,179
0.57, Pendulum, 0, 63.01, 61.43, 12.00,217,42,130
0.57, Pendulum, 1, 0.79, -0.80, 12.00,254,67,77
0.57, Pendulum, 2, 0.01, 87.19, 12.00,140,226,179
0.58, Pendulum, 0, 63.05, 61.38, 12.00,217,42,130
0.58, Pendulum, 1, 0.84, -0.85, 12.00,254,67,77
0.58, Pendulum, 2, 0.01, 87.15, 12.00,140,226,179
0.60, Pendulum, 0, 63.10, 61.34, 12.00,217,42,130
0.60, Pendulum, 1, 0.89, -0.90, 12.00,254,67,77
0.60, Pendulum, 2, 0.01, 87.10, 12.00,140,226,179
0.62, Pendulum, 0, 63.15, 61.29, 12.00,217,42,130
0.62, Pendulum, 1, 0.93, -0.95, 12.00,254,67,77
0.62, Pendulum, 2, 0.01, 87.05, 12.00,140,226,179
0.63, Pendulum, 0, 63.20, 61.23, 12.00,217,42,130
0.63, Pendulum, 1, 0.99, -1.00, 12.00,254,67,77
0.63, Pendulum, 2, 0.01, 86.99, 12.00,140,226,179
0.65, Pendulum, 0, 63.25, 61.18, 12.00,217,42,130
0.65, Pendulum, 1, 1.04, -1.05, 12.00,254,67,77
0.65, Pendulum, 2, 0.01, 86.94, 12.00,140,226,179
0.67, Pendulum, 0, 63.31, 61.12, 12.00,217,42,130
0.67, Pendulum, 1, 1.09, -1.11, 12.00,254,67,77
0.67, Pendulum, 2, 0.01, 86.88, 12.00,140,226,179
0.68, Pendulum, 0, 63.36, 61.07, 12.00,217,42,130
0.68, Pendulum, 1, 1.14, -1.17, 12.00,254,67,77
0.68, Pendulum, 2, 0.01, 86.83, 12.00,140,226,179
0.70, Pendulum, 0, 63.42, 61.01, 12.00,217,42,130
0.70, Pendulum, 1, 1.20, -1.22, 12.00,254,67,77
0.70, Pendulum, 2, 0.01, 86.77, 12.00,140,226,179
0.72, Pendulum, 0, 63.47, 60.95, 12.00,217,42,130
0.72, Pendulum, 1, 1.26, -1.28, 12.00,254,67,77
0.72, Pendulum, 2, 0.01, 86.71, 12.00,140,226,179
0.73, Pendulum, 0, 63.53, 60.89, 12.00,217,42,130
0.73, Pendulum, 1, 1.32, -1.34, 12.00,254,67,77
0.73, Pendulum, 2, 0.01, 86.65, 12.00,140,226,179
0.75, Pendulum, 0, 63.59, 60.83, 12.00,217,42,130
0.75, Pendulum, 1, 1.37, -1.41, 12.00,254,67,77
0.75, Pendulum, 2, 0.01, 86.58, 12.00,140,226,179
0.77, Pendulum, 0, 63.65, 60.76, 12.00,217,42,130
0.77, Pendulum, 1, 1.44, -1.47, 12.00,254,67,77
0.77, Pendulum, 2, 0.01, 86.52, 12.00,140,226,179
0.78, Pendulum, 0, 63.71, 60.70, 12.00,217,42,130
0.78, Pendulum, 1, 1.50, -1.53, 12.00,254,67,77
0.78, Pendulum, 2, 0.01, 86.45, 12.00,140,226,179
0.80, Pendulum, 0, 63.78, 60.63, 12.00,217,42,130
0.80, Pendulum, 1, 1.56, -1.60, 12.00,254,67,77
0.80, Pendulum, 2, 0.01, 86.39, 12.00,140,226,179
0.82, Pendulum, 0, 63.84, 60.56, 12.00,217,42,130
0.82, Pendulum, 1, 1.62, -1.67, 12.00,254,67,77
0.82, Pendulum, 2, 0.01, 86.32, 12.00,140,226,179
0.83, Pendulum, 0, 63.91, 60.50, 12.00,217,42,130
0.83, Pendulum, 1, 1.69, -1.74, 12.00,254,67,77
0.83, Pendulum, 2, 0.01, 86.25, 12.00,140,226,179
0.85, Pendulum, 0, 63.98, 60.42, 12.00,217,42,130
0.85, Pendulum, 1, 1.76, -1.81, 12.00,254,67,77
0.85, Pendulum, 2, 0.01, 86.17, 12.00,140,226,179
0.87, Pendulum, 0, 64.04, 60.35, 12.00,217,42,130
0.87, Pendulum, 1, 1.83, -1.88, 12.00,254,67,77
0.87, Pendulum, 2, 0.01, 86.10, 12.00,140,226,179
0.88, Pendulum, 0, 64.11, 60.28, 12.00,217,42,130
0.88, Pendulum, 1, 1.90, -1.96, 12.00,254,67,77
0.88, Pendulum, 2, 0.01, 86.02, 12.00,140,226,179
0.90, Pendulum, 0, 64.18, 60.20, 12.00,217,42,130
0.90, Pendulum, 1, 1.97, -2.03, 12.00,254,67,77
0.90, Pendulum, 2, 0.01, 85.95, 12.00,140,226,179
0.92, Pendulum, 0, 64.26, 60.12, 12.00,217,42,130
0.92, Pendulum, 1, 2.04, -2.11, 12.00,254,67,77
0.92, Pendulum, 2, 0.01, 85.87, 12.00,140,226,179
0.93, Pendulum, 0, 64.33, 60.05, 12.00,217,42,130
0.93, Pendulum, 1, 2.11, -2.19, 12.00,254,67,77
0.93, Pendulum, 2, 0.01, 85.79, 12.00,140,226,179
0.95, Pendulum, 0, 64.41, 59.96, 12.00,217,42,130
0.95, Pendulum, 1, 2.19, -2.27, 12.00,254,67,77
0.95, Pendulum, 2, 0.01, 85.71, 12.00,140,226,179
0.97, Pendulum, 0, 64.48, 59.88, 12.00,217,42,130
0.97, Pendulum, 1, 2.26, -2.35, 12.00,254,67,77
0.97, Pendulum, 2, 0.01, 85.62, 12.00,140,226,179
0.98, Pendulum, 0, 64.56, 59.80, 12.00,217,42,130
0.98, Pendulum, 1, 2.34, -2.43, 12.00,254,67,77
0.98, Pendulum, 2, 0.01, 85.54, 12.00,140,226,179
1.00, Pendulum, 0, 64.64, 59.71, 12.00,217,42,130
1.00, Pendulum, 1, 2.42, -2.51, 12.00,254,67,77
1.00, Pendulum, 2, 0.01, 85.45, 12.00,140,226,179
1.02, Pendulum, 0, 64.72, 59.63, 12.00,217,42,130
1.02, Pendulum, 1, 2.49, -2.60, 12.00,254,67,77
1.02, Pendulum, 2, 0.01, 85.37, 12.00,140,226,179
1.03, Pendulum, 0, 64.80, 59.54, 12.00,217,42,130
1.03, Pendulum, 1, 2.57, -2.69, 12.00,254,67,77
1.03, Pendulum, 2, 0.01, 85.28, 12.00,140,226,179
1.05, Pendulum, 0, 64.88, 59.45, 12.00,217,42,130
1.05, Pendulum, 1, 2.66, -2.78, 12.00,254,67,77
1.05, Pendulum, 2, 0.01, 85.18, 12.00,140,226,179
1.07, Pendulum, 0, 64.97, 59.36, 12.00,217,42,130
1.07, Pendulum, 1, 2.74, -2.87, 12.00,254,67,77
1.07, Pendulum, 2, 0.01, 85.09, 12.00,140,226,179
1.08, Pendulum, 0, 65.05, 59.27, 12.00,217,42,130
1.08, Pendulum, 1, 2.82, -2.96, 12.00,254,67,77
1.08, Pendulum, 2, 0.01, 85.00, 12.00,140,226,179
1.10, Pendulum, 0, 65.14, 59.17, 12.00,217,42,130
1.10, Pendulum, 1, 2.91, -3.05, 12.00,254,67,77
1.10, Pendulum, 2, 0.01, 84.90, 12.00,140,226,179
1.12, Pendulum, 0, 65.22, 59.08, 12.00,217,42,130
1.12, Pendulum, 1, 2.99, -3.15, 12.00,254,67,77
1.12, Pendulum, 2, 0.01, 84.80, 12.00,140,226,179
1.13, Pendulum, 0, 65.31, 58.98, 12.00,217,42,130
1.13, Pendulum, 1, 3.08, -3.24, 12.00,254,67,77
1.13, Pendulum, 2, 0.01, 84.70, 12.00,140,226,179
1.15, Pendulum, 0, 65.40, 58.88, 12.00,217,42,130
1.15, Pendulum, 1, 3.17, -3.34, 12.00,254,67,77
1.15, Pendulum, 2, 0.00, 84.60, 12.00,140,226,179
1.17, Pendulum, 0, 65.49, 58.78, 12.00,217,42,130
1.17, Pendulum, 1, 3.26, -3.44, 12.00,254,67,77
1.17, Pendulum, 2, 0.00, 84.50, 12.00,140,226,179
1.18, Pendulum, 0, 65.58, 58.67, 12.00,217,42,130
1.18, Pendulum, 1, 3.35, -3.54, 12.00,254,67,77
1.18, Pendulum, 2, 0.00, 84.39, 12.00,140,226,179
1.20, Pendulum, 0, 65.68, 58.57, 12.00,217,42,130
1.20, Pendulum, 1, 3.44, -3.65, 12.00,254,67,77
1.20, Pendulum, 2, 0.00, 84.29, 12.00,140,226,179
1.22, Pendulum, 0, 65.77, 58.46, 12.00,217,42,130
1.22, Pendulum, 1, 3.54, -3.75, 12.00,254,67,77
1.22, Pendulum, 2, 0.00, 84.18, 12.00,140,226,179
1.23, Pendulum, 0, 65.87, 58.36, 12.00,217,42,130
1.23, Pendulum, 1, 3.63, -3.86, 12.00,254,67,77
1.23, Pendulum, 2, 0.00, 84.07, 12.00,140,226,179
1.25, Pendulum, 0, 65.96, 58.25, 12.00,217,42,130
1.25, Pendulum, 1, 3.72, -3.96, 12.00,254,67,77
1.25, Pendulum, 2, 0.00, 83.96, 12.00,140,226,179
1.27, Pendulum, 0, 66.06, 58.14, 12.00,217,42,130
1.27, Pendulum, 1, 3.82, -4.07, 12.00,254,67,77
1.27, Pendulum, 2, -0.00, 83.84, 12.00,140,226,179
1.28, Pendulum, 0, 66.16, 58.02, 12.00,217,42,130
1.28, Pendulum, 1, 3.92, -4.19, 12.00,254,67,77
1.28, Pendulum, 2, -0.00, 83.73, 12.00,140,226,179
1.30, Pendulum, 0, 66.26, 57.91, 12.00,217,42,130
1.30, Pendulum, 1, 4.02, -4.30, 12.00,254,67,77
1.30, Pendulum, 2, -0.00, 83.61, 12.00,140,226,179
1.32, Pendulum, 0, 66.36, 57.79, 12.00,217,42,130
1.32, Pendulum, 1, 4.12, -4.41, 12.00,254,67,77
1.32, Pendulum, 2, -0.00, 83.49, 12.00,140,226,179
